id	effect	rawPval	adjPval	logAdjPval
P-hsa04210-99	0.9099454532512188	0.36285127714832455	0.9148796197989206	0.08896278542308336
P-hsa04210-106	0.4401496823602286	0.6598287004836401	0.990270913685847	0.009776723101160545
P-hsa04210-107	0.9268057891618013	0.35402737866146206	0.9148796197989206	0.08896278542308336
P-hsa04211-23	-2.5428452650305258	0.010995390967033725	0.37324192318077676	0.9855284819643438
P-hsa04211-56	-1.805619660454903	0.07097776952755797	0.5888599084875978	0.5295669699912859
P-hsa04211-57	-1.8780779576410245	0.060370501241920005	0.5834288815716913	0.5388327171659055
P-hsa04211-29	-0.7488326401098213	0.4539580839798072	0.9420634574625202	0.059682642064773396
P-hsa04211-2	-0.5184972600669563	0.6041113712638488	0.9764863298526801	0.023794527890191774
P-hsa04211-43 59 60 61	0.6141450422814702	0.5391194861242175	0.9622302394427007	0.038501522812255405
P-hsa04211-62	0.7042956237099652	0.48124869111921975	0.9463548684902058	0.055137655018228725
P-hsa04211-42	0.2691415154201238	0.7878207839986382	1	-0
P-hsa04211-38	0.07653642567502403	0.9389923354525633	1	-0
P-hsa04211-39	0.5804717482760683	0.5615965332126638	0.9647940442371403	0.03584062608264306
P-hsa04211-51	1.338226181716171	0.1808227167950085	0.7730481859316881	0.25741389607403586
P-hsa04211-52	0.7305367396063688	0.46506216421269264	0.9445820135941854	0.05701276299488108
P-hsa04211-50	0.7644416371343571	0.4446041041024369	0.9411898835460525	0.06061037065030243
P-hsa04213-52	-0.44835130131802114	0.6538996817958762	0.9880090718917233	0.012063399199781262
P-hsa04213-60	-0.9148353759457014	0.36027806021658115	0.9148796197989206	0.08896278542308336
P-hsa04213-61	-0.07069108412493087	0.9436436169233144	1	-0
P-hsa04213-2	0.15430994794247163	0.8773653539402901	1	-0
P-hsa04213-53	-0.7135640884528536	0.4754967703450741	0.9445820135941854	0.05701276299488108
P-hsa04213-55	-0.42357838387582714	0.6718733225622886	0.9995514299182026	4.4867071945306724e-4
P-hsa04213-13	-0.8932549541054824	0.37172065502428	0.9175630905599331	0.08603393786445583
P-hsa04213-54	-4.484828611012947	7.297256521709983e-6	0.013689653234727928	4.291114969825235
P-hsa04213-62	-2.015818333836976	0.043818975705097296	0.5378549218907366	0.620166417098793
P-hsa04213-71	-1.460918878080481	0.14403770519763182	0.7110914077651507	0.3409542951847191
P-hsa04218-36 38	-0.2779376683131887	0.7810602075138848	1	-0
P-hsa04218-37 38	-2.0250750472448007e-7	0.9999998384223885	1	-0
P-hsa04218-52 53	-1.9431660950111467	0.05199609320062626	0.5573981191107136	0.5844755383376976
P-hsa04218-63	-1.6587731842814994	0.0971615058255828	0.65499041827506	0.4231346720415786
P-hsa04218-58	-0.22283479009528329	0.8236640901164907	1	-0
P-hsa04218-72	-1.2702912091165595	0.20398091840716814	0.8141876658124414	0.20556439187049746
P-hsa04218-74	-0.7513960085972402	0.4524143641360676	0.941828167789448	0.0599324331579995
P-hsa04261-8 38	0.7213816946541969	0.47067470596009553	0.9445820135941854	0.05701276299488108
P-hsa04261-39	0.2611650083620525	0.7939652611868695	1	-0
P-hsa04261-3	-2.14251443281662	0.03215210852830097	0.4854280967564836	0.7227241036473151
P-hsa04261-15 17	-0.8870243921140587	0.3750657682046006	0.9197525178791046	0.08365064743198211
P-hsa04261-15 16	-0.955444473460671	0.33935297267962783	0.9148796197989206	0.08896278542308336
P-hsa04261-20	0.023792991101003618	0.9810177307595163	1	-0
P-hsa04261-23	1.2657696333726756	0.20559556990019345	0.8188902104729574	0.19980525726156592
